t,b,g,r,helper,counter
0.08341666666666667,0,0,0,"0,0,0",1
0.16683333333333333,0,0,0,"0,0,0",2
0.25025,0,0,0,"0,0,0",3
0.33366666666666667,0,0,0,"0,0,0",4
0.4170833333333333,0,0,0,"0,0,0",5
0.5005,0,0,0,"0,0,0",6
0.5839166666666666,0,0,0,"0,0,0",7
0.6673333333333333,0,0,0,"0,0,0",8
0.7507499999999999,0,0,0,"0,0,0",9
0.8341666666666666,0,0,0,"0,0,0",10
0.9175833333333333,0,0,0,"0,0,0",11
1.001,0,0,0,"0,0,0",12
1.0844166666666666,0,0,0,"0,0,0",13
1.1678333333333333,0,0,0,"0,0,0",14
1.25125,0,0,0,"0,0,0",15
1.3346666666666667,0,0,0,"0,0,0",16
1.4180833333333331,0,0,0,"0,0,0",17
1.5014999999999998,0,0,0,"0,0,0",18
1.5849166666666665,0,0,0,"0,0,0",19
1.6683333333333332,0,0,0,"0,0,0",20
1.75175,0,0,0,"0,0,0",21
1.8351666666666666,0,0,0,"0,0,0",22
1.9185833333333333,0,0,0,"0,0,0",23
2.002,0,0,0,"0,0,0",24
2.0854166666666667,0,0,0,"0,0,0",25
2.168833333333333,0,0,0,"0,0,0",26
2.2522499999999996,0,0,0,"0,0,0",27
2.3356666666666666,0,0,0,"0,0,0",28
2.419083333333333,0,0,0,"0,0,0",29
2.5025,0,0,0,"0,0,0",30
2.5859166666666664,0,0,0,"0,0,0",31
2.6693333333333333,0,0,0,"0,0,0",32
2.75275,0,0,0,"0,0,0",33
2.8361666666666663,0,0,0,"0,0,0",34
2.919583333333333,0,0,0,"0,0,0",35
3.0029999999999997,0,0,0,"0,0,0",36
3.0864166666666666,0,0,0,"0,0,0",37
3.169833333333333,0,0,0,"0,0,0",38
3.25325,0,0,0,"0,0,0",39
3.3366666666666664,0,0,0,"0,0,0",40
3.420083333333333,0,0,0,"0,0,0",41
3.5035,0,0,0,"0,0,0",42
3.5869166666666663,0,0,0,"0,0,0",43
3.6703333333333332,0,0,0,"0,0,0",44
3.7537499999999997,0,0,0,"0,0,0",45
3.8371666666666666,0,0,0,"0,0,0",46
3.920583333333333,0,0,0,"0,0,0",47
4.004,0,0,0,"0,0,0",48
4.087416666666666,0,0,0,"0,0,0",49
4.170833333333333,0,0,0,"0,0,0",50
4.25425,0,0,0,"0,0,0",51
4.337666666666666,0,0,0,"0,0,0",52
4.421083333333333,0,0,0,"0,0,0",53
4.504499999999999,0,0,0,"0,0,0",54
4.587916666666667,0,0,0,"0,0,0",55
4.671333333333333,0,0,0,"0,0,0",56
4.75475,0,0,0,"0,0,0",57
4.838166666666666,0,0,0,"0,0,0",58
4.921583333333333,0,0,0,"0,0,0",59
5.005,0,0,0,"0,0,0",60
5.088416666666666,0,0,0,"0,0,0",61
5.171833333333333,0,0,0,"0,0,0",62
5.255249999999999,0,0,0,"0,0,0",63
5.338666666666667,0,0,0,"0,0,0",64
